# BRDF Data for aluminum in visible spectrum
#
# Data from "A Data-Driven Reflectance Model", 
#   Wojciech Matusik, Hanspeter Pfister, Matt Brand 
#   and Leonard McMillan, ACM Transactions on 
#   Graphics 22, 3(2003), 759-769.
#
# phi_in     theta_in     phi_out     theta_out     brdf
22.500000     180.000000     -71.718750     0.000000     0.001563
22.500000     180.000000     -71.015625     0.000000     0.001630
22.500000     180.000000     -70.312500     0.000000     0.001600
22.500000     180.000000     -69.609375     0.000000     0.001600
22.500000     180.000000     -68.906250     0.000000     0.001600
22.500000     180.000000     -68.203125     0.000000     0.001623
22.500000     180.000000     -67.500000     0.000000     0.001623
22.500000     180.000000     -66.796875     0.000000     0.001623
22.500000     180.000000     -66.093750     0.000000     0.001576
22.500000     180.000000     -65.390625     0.000000     0.001637
22.500000     180.000000     -64.687500     0.000000     0.001637
22.500000     180.000000     -63.984375     0.000000     0.001612
22.500000     180.000000     -63.281250     0.000000     0.001612
22.500000     180.000000     -62.578125     0.000000     0.001684
22.500000     180.000000     -61.875000     0.000000     0.001683
22.500000     180.000000     -61.171875     0.000000     0.001683
22.500000     180.000000     -60.468750     0.000000     0.001653
22.500000     180.000000     -59.765625     0.000000     0.001746
22.500000     180.000000     -59.062500     0.000000     0.001746
22.500000     180.000000     -58.359375     0.000000     0.001720
22.500000     180.000000     -57.656250     0.000000     0.001720
22.500000     180.000000     -56.953125     0.000000     0.001798
22.500000     180.000000     -56.250000     0.000000     0.001759
22.500000     180.000000     -55.546875     0.000000     0.001759
22.500000     180.000000     -54.843750     0.000000     0.001839
22.500000     180.000000     -54.140625     0.000000     0.001803
22.500000     180.000000     -53.437500     0.000000     0.001803
22.500000     180.000000     -52.734375     0.000000     0.001803
22.500000     180.000000     -52.031250     0.000000     0.001836
22.500000     180.000000     -51.328125     0.000000     0.001836
22.500000     180.000000     -50.625000     0.000000     0.001836
22.500000     180.000000     -49.921875     0.000000     0.001783
22.500000     180.000000     -49.218750     0.000000     0.001870
22.500000     180.000000     -48.515625     0.000000     0.001870
22.500000     180.000000     -47.812500     0.000000     0.001800
22.500000     180.000000     -47.109375     0.000000     0.001881
22.500000     180.000000     -46.406250     0.000000     0.001862
22.500000     180.000000     -45.703125     0.000000     0.001862
22.500000     180.000000     -45.000000     0.000000     0.001862
22.500000     180.000000     -44.296875     0.000000     0.001976
22.500000     180.000000     -43.593750     0.000000     0.001976
22.500000     180.000000     -42.890625     0.000000     0.001976
22.500000     180.000000     -42.187500     0.000000     0.002072
22.500000     180.000000     -41.484375     0.000000     0.002072
22.500000     180.000000     -40.781250     0.000000     0.002072
22.500000     180.000000     -40.078125     0.000000     0.002034
22.500000     180.000000     -39.375000     0.000000     0.002151
22.500000     180.000000     -38.671875     0.000000     0.002151
22.500000     180.000000     -37.968750     0.000000     0.002098
22.500000     180.000000     -37.265625     0.000000     0.002209
22.500000     180.000000     -36.562500     0.000000     0.002209
22.500000     180.000000     -35.859375     0.000000     0.002189
22.500000     180.000000     -35.156250     0.000000     0.002347
22.500000     180.000000     -34.453125     0.000000     0.002369
22.500000     180.000000     -33.750000     0.000000     0.002369
22.500000     180.000000     -33.046875     0.000000     0.002534
22.500000     180.000000     -32.343750     0.000000     0.002549
22.500000     180.000000     -31.640625     0.000000     0.002549
22.500000     180.000000     -30.937500     0.000000     0.002549
22.500000     180.000000     -30.234375     0.000000     0.002711
22.500000     180.000000     -29.531250     0.000000     0.002711
22.500000     180.000000     -28.828125     0.000000     0.002711
22.500000     180.000000     -28.125000     0.000000     0.003084
22.500000     180.000000     -27.421875     0.000000     0.003084
22.500000     180.000000     -26.718750     0.000000     0.003084
22.500000     180.000000     -26.015625     0.000000     0.003427
22.500000     180.000000     -25.312500     0.000000     0.003427
22.500000     180.000000     -24.609375     0.000000     0.003427
22.500000     180.000000     -23.906250     0.000000     0.004002
22.500000     180.000000     -23.203125     0.000000     0.004002
22.500000     180.000000     -22.500000     0.000000     0.003997
22.500000     180.000000     -21.796875     0.000000     0.004521
22.500000     180.000000     -21.093750     0.000000     0.004521
22.500000     180.000000     -20.390625     0.000000     0.005017
22.500000     180.000000     -19.687500     0.000000     0.005017
22.500000     180.000000     -18.984375     0.000000     0.005017
22.500000     180.000000     -18.281250     0.000000     0.005741
22.500000     180.000000     -17.578125     0.000000     0.005741
22.500000     180.000000     -16.875000     0.000000     0.005741
22.500000     180.000000     -16.171875     0.000000     0.006519
22.500000     180.000000     -15.468750     0.000000     0.006519
22.500000     180.000000     -14.765625     0.000000     0.007534
22.500000     180.000000     -14.062500     0.000000     0.007493
22.500000     180.000000     -13.359375     0.000000     0.007493
22.500000     180.000000     -12.656250     0.000000     0.008796
22.500000     180.000000     -11.953125     0.000000     0.008719
22.500000     180.000000     -11.250000     0.000000     0.010420
22.500000     180.000000     -10.546875     0.000000     0.010420
22.500000     180.000000     -9.843750     0.000000     0.010317
22.500000     180.000000     -9.140625     0.000000     0.012539
22.500000     180.000000     -8.437500     0.000000     0.012354
22.500000     180.000000     -7.734375     0.000000     0.015125
22.500000     180.000000     -7.031250     0.000000     0.015125
22.500000     180.000000     -6.328125     0.000000     0.014828
22.500000     180.000000     -5.625000     0.000000     0.017826
22.500000     180.000000     -4.921875     0.000000     0.017826
22.500000     180.000000     -4.218750     0.000000     0.019830
22.500000     180.000000     -3.515625     0.000000     0.019830
22.500000     180.000000     -2.812500     0.000000     0.022307
22.500000     180.000000     -2.109375     0.000000     0.021700
22.500000     180.000000     -1.406250     0.000000     0.025950
22.500000     180.000000     -0.703125     0.000000     0.025950
22.500000     180.000000     0.000000     0.000000     0.030361
22.500000     180.000000     0.703125     0.000000     0.030361
22.500000     180.000000     1.406250     0.000000     0.036308
22.500000     180.000000     2.109375     0.000000     0.035361
22.500000     180.000000     2.812500     0.000000     0.042627
22.500000     180.000000     3.515625     0.000000     0.041481
22.500000     180.000000     4.218750     0.000000     0.050127
22.500000     180.000000     4.921875     0.000000     0.050127
22.500000     180.000000     5.625000     0.000000     0.061931
